window,train_period,val_period,val_n,val_wins,val_losses,val_win_rate,val_net_r,val_expectancy,val_pf,val_max_dd
Window_1,2026-07-03 17:15:00+00:00 to 2026-07-14 13:45:00+00:00,2026-07-14 14:30:00+00:00 to 2026-07-20 08:15:00+00:00,68,7,61,10.29,-40.0,-0.5882,0.3443,237.55
Window_2,2026-07-09 05:00:00+00:00 to 2026-07-20 08:15:00+00:00,2026-07-20 08:15:00+00:00 to 2026-07-24 15:45:00+00:00,87,17,70,19.54,-19.0,-0.2184,0.7286,238.41
Window_3,2026-07-14 14:30:00+00:00 to 2026-07-24 15:45:00+00:00,2026-07-24 15:45:00+00:00 to 2026-07-29 21:15:00+00:00,42,1,41,2.38,-38.0,-0.9048,0.0732,185.9
