n,wins,losses,win_rate,gross_profit,gross_loss,net_r,expectancy,profit_factor,realized_net_r,realized_expectancy,max_dd,session
1,0,1,0.0,0.0,1.0,-1.0,-1.0,0.0,-4.02,-4.0196,0.0,Asian
7,1,6,14.29,2.0,6.0,-4.0,-0.5714,0.3333,-19.41,-2.7734,14.46,London
20,2,18,10.0,4.0,18.0,-14.0,-0.7,0.2222,-28.14,-1.4072,28.73,London/NY Overlap
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York
