n,wins,losses,win_rate,gross_profit,gross_loss,net_r,expectancy,profit_factor,realized_net_r,realized_expectancy,max_dd,threshold,wilson_ci_95
38,3,35,7.89,6.0,35.0,-29.0,-0.7632,0.1714,-71.25,-1.8751,67.81,0.5,"[2.72%, 20.8%]"
33,3,30,9.09,6.0,30.0,-24.0,-0.7273,0.2,-59.48,-1.8024,56.03,0.55,"[3.14%, 23.57%]"
28,3,25,10.71,6.0,25.0,-19.0,-0.6786,0.24,-51.58,-1.842,46.62,0.6,"[3.71%, 27.2%]"
21,1,20,4.76,2.0,20.0,-18.0,-0.8571,0.1,-49.86,-2.3742,44.9,0.65,"[0.85%, 22.67%]"
11,0,11,0.0,0.0,11.0,-11.0,-1.0,0.0,-25.67,-2.3336,23.68,0.7,"[0.0%, 25.88%]"
4,0,4,0.0,0.0,4.0,-4.0,-1.0,0.0,-9.52,-2.3809,7.02,0.75,"[0.0%, 48.99%]"
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,"[0.0%, 0.0%]"
