n,wins,losses,win_rate,gross_profit,gross_loss,net_r,expectancy,profit_factor,realized_net_r,realized_expectancy,max_dd,universe,rr
87,7,80,8.05,21.0,80.0,-59.0,-0.6782,0.2625,-341.91,-3.93,340.89,All 13 Assets,1:3
87,7,80,8.05,14.0,80.0,-66.0,-0.7586,0.175,-348.91,-4.0105,347.89,All 13 Assets,1:2
28,3,25,10.71,9.0,25.0,-16.0,-0.5714,0.36,-48.58,-1.7349,43.62,Class A Whitelist,1:3
28,3,25,10.71,6.0,25.0,-19.0,-0.6786,0.24,-51.58,-1.842,46.62,Class A Whitelist,1:2
